age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,__target__
49,Private,108631,HS-grad,9,Married-AF-spouse,Other-service,Not-in-family,Black,Male,-3,0,40,United-States,0
38,Private,158259,Assoc-voc,11,Married-civ-spouse,Armed-Forces,Husband,Black,Male,14,1,40,United-States,0
37,Private,176533,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,33,1,50,United-States,0
28,Private,178220,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,7415,1,36,United-States,0
18,Private,180786,10th,5,Never-married,Other-service,Own-child,White,Female,45,0,40,United-States,0
52,Private,232565,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Female,35,0,40,United-States,0
41,Private,59743,Some-college,10,Married-civ-spouse,Armed-Forces,Wife,White,Male,29,0,50,United-States,0
43,Private,218872,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-15,0,40,United-States,1
43,Private,224342,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,19,0,95,United-States,0
30,Private,291461,HS-grad,9,Never-married,Other-service,Own-child,White,Female,23,0,11,United-States,0
33,Private,251552,Some-college,10,Never-married,Sales,Not-in-family,White,Male,22,1935,40,United-States,0
25,Private,117300,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,7,1,68,United-States,1
28,Self-emp-not-inc,257145,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,27,0,71,United-States,0
34,Self-emp-not-inc,260398,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,10,1,40,United-States,0
18,Private,265888,12th,9,Separated,Other-service,Not-in-family,White,Female,40,0,30,United-States,0
40,Private,268642,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,16,0,40,South,1
23,Private,189874,Some-college,10,Never-married,Other-service,Own-child,White,Male,38,1,31,El-Salvador,0
32,?,154935,Bachelors,13,Never-married,?,Not-in-family,Black,Female,6,0,35,Philippines,0
50,Private,339146,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,0,40,United-States,0
28,Private,315904,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,11,0,40,United-States,0
44,Self-emp-inc,206393,Masters,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,-3,0,50,United-States,1
27,Private,167681,Some-college,10,Married-civ-spouse,Other-service,Wife,Black,Female,-4,1,36,El-Salvador,0
41,Private,218582,10th,3,Married-civ-spouse,Protective-serv,Husband,Other,Male,12,0,40,United-States,0
20,Private,509676,10th,7,Never-married,Handlers-cleaners,Own-child,White,Male,39,0,21,United-States,0
19,?,202230,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,21,United-States,0
49,Private,144245,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-2,0,40,United-States,0
44,Private,265725,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,9,0,40,United-States,0
26,?,237623,Some-college,10,Never-married,?,Own-child,White,Female,8,0,30,United-States,0
53,Private,379783,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,1,0,40,Hong,0
53,Private,229799,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,14,0,44,United-States,0
65,Self-emp-not-inc,161760,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,15,1,40,United-States,0
38,Private,219215,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-12,1,50,Jamaica,0
32,Private,239291,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,13,0,50,United-States,0
60,Private,72575,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,-12,0,40,United-States,0
28,Private,114040,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14,1,40,United-States,0
39,Private,288669,Some-college,10,Divorced,Sales,Unmarried,White,Female,47,-1,10,United-States,0
29,Private,757491,Some-college,10,Divorced,Sales,Not-in-family,White,Male,22,1,58,United-States,0
91,Private,199862,9th,2,Widowed,Priv-house-serv,Not-in-family,White,Female,27,-1,36,United-States,0
46,?,247415,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,2,0,40,?,0
38,Private,218260,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,-1,40,United-States,1
27,Self-emp-inc,283343,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,10,-1,23,United-States,0
32,Self-emp-inc,235965,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,16,1,67,United-States,1
53,Private,191331,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2,0,40,Mexico,0
36,Self-emp-not-inc,200255,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,7988,1,50,United-States,1
40,Private,180396,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,6,1,71,United-States,1
43,Private,139054,9th,13,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,10,1801,44,Taiwan,0
18,Private,221607,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,Black,Male,16,1,40,Guatemala,0
58,Private,66162,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,59,United-States,0
39,Self-emp-not-inc,224818,Some-college,10,Divorced,Other-service,Unmarried,White,Male,13,0,40,United-States,0
60,Private,157341,10th,6,Divorced,Other-service,Not-in-family,White,Female,35,0,50,United-States,0
19,Private,103919,11th,7,Never-married,Sales,Own-child,White,Female,6,0,20,United-States,0
26,Private,314138,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Male,6,0,40,United-States,0
57,Self-emp-not-inc,142978,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,16,0,40,United-States,0
30,Self-emp-not-inc,254331,Some-college,10,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,15,0,48,United-States,0
26,Local-gov,234702,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,33,1,31,Vietnam,0
72,Self-emp-not-inc,134081,Assoc-acdm,13,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,-20,1,70,United-States,0
27,Private,174330,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,5,1,50,United-States,0
43,Private,89322,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,28,0,40,United-States,0
30,Private,163723,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,1,50,United-States,1
25,Private,197008,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,41,0,25,Ecuador,0
44,Private,245870,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,11,2222,40,United-States,0
33,Private,189426,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,-18,0,40,Outlying-US(Guam-USVI-etc),0
51,Private,220942,Masters,14,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,30,0,86,Mexico,0
57,Private,240805,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7588,0,35,United-States,1
45,State-gov,344416,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Female,4,0,40,United-States,0
58,Private,189089,1st-4th,3,Divorced,Machine-op-inspct,Unmarried,Other,Male,14,1,40,Yugoslavia,0
21,Private,295808,HS-grad,9,Never-married,Transport-moving,Own-child,White,Female,42,1,40,United-States,0
31,Private,251046,Assoc-acdm,13,Divorced,Craft-repair,Not-in-family,White,Female,18,1793,40,United-States,0
23,Private,190067,HS-grad,9,Married-civ-spouse,Tech-support,Wife,White,Male,-24,1,50,United-States,1
39,Private,441492,Some-college,10,Never-married,Tech-support,Own-child,White,Female,5,0,40,United-States,0
21,Self-emp-inc,48383,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5,0,58,United-States,1
51,Private,257866,10th,6,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,23,1,22,Nicaragua,0
20,?,280950,1st-4th,4,Married-civ-spouse,?,Husband,White,Male,29,1,18,United-States,0
39,Self-emp-inc,36384,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,14,0,66,United-States,0
26,Private,173376,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Female,-3,1,59,Ireland,0
50,Private,244031,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,31,0,40,Mexico,0
21,Private,236603,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,33,-1,40,Italy,0
54,Private,191064,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,4,1,67,United-States,0
60,Self-emp-not-inc,150118,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,70,?,1
50,Private,269663,HS-grad,3,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,20,-1,37,Haiti,0
58,Self-emp-not-inc,184533,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,4171,0,40,United-States,0
29,?,217094,Bachelors,13,Never-married,?,Not-in-family,White,Female,18,0,40,United-States,0
46,Private,208330,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,1852,40,United-States,1
34,Private,173979,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,-20,1,50,United-States,0
32,Private,73101,Assoc-acdm,4,Married-civ-spouse,Tech-support,Not-in-family,White,Male,20,0,40,Yugoslavia,0
53,?,206411,Some-college,10,Never-married,?,Own-child,White,Male,-23,0,40,United-States,0
55,Private,240709,Masters,3,Married-spouse-absent,Other-service,Not-in-family,White,Male,4221,0,40,Ecuador,0
32,Private,281120,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1,-1,40,United-States,0
22,Private,161464,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,34,0,40,United-States,0
21,?,272159,HS-grad,9,Never-married,?,Husband,White,Male,0,0,40,United-States,0
25,Self-emp-inc,107406,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,19,0,73,?,0
34,Private,130221,HS-grad,9,Separated,Other-service,Unmarried,Asian-Pac-Islander,Male,21,0,40,?,0
61,Private,158745,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,33,0,40,United-States,0
45,Private,202881,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Male,17,0,40,United-States,0
52,Private,233751,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-6,1,49,United-States,1
55,Without-pay,204650,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Female,-2,0,36,United-States,0
22,Private,217951,10th,5,Never-married,Other-service,Other-relative,Other,Female,18,-1,30,United-States,0
72,Private,216955,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,29,-1,49,United-States,0
48,Private,279590,Masters,5,Married-civ-spouse,Transport-moving,Husband,White,Male,15,0,67,United-States,0
42,Private,174748,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,24,1854,40,United-States,1
25,Private,311493,Some-college,10,Never-married,Sales,Own-child,White,Female,12,0,40,United-States,0
32,Private,128085,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,17,1,40,United-States,0
66,?,263952,Bachelors,13,Widowed,?,Not-in-family,White,Female,-12,-1,20,United-States,0
32,Private,292849,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,18,0,40,Ireland,0
19,Private,179777,12th,8,Never-married,Other-service,Own-child,Black,Male,-8,0,9,United-States,0
72,Self-emp-not-inc,182260,Assoc-acdm,13,Married-civ-spouse,Sales,Husband,White,Male,6,-1,49,United-States,0
34,Federal-gov,117381,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,19,0,40,Philippines,0
51,Private,237021,12th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,-20,0,40,United-States,0
36,Local-gov,168862,Some-college,14,Separated,Adm-clerical,Unmarried,White,Female,44,0,40,United-States,0
29,Private,240712,7th-8th,3,Never-married,Prof-specialty,Not-in-family,White,Male,15976,0,40,Thailand,0
48,Federal-gov,174666,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,-13,-1,40,United-States,0
50,Private,227258,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,23,0,40,United-States,1
27,Without-pay,159007,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,-11,0,30,United-States,0
32,Private,299843,Bachelors,13,Never-married,Sales,Own-child,White,Male,-3,-1,40,United-States,0
29,Self-emp-not-inc,183199,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,25,1,49,United-States,0
50,Private,214050,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3,0,40,United-States,0
30,Private,370279,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,10,1840,59,United-States,1
37,Private,104063,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,-32,0,40,Hungary,0
32,Private,193582,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,-3,0,40,United-States,0
66,?,96568,Bachelors,13,Never-married,?,Own-child,White,Female,16,0,20,United-States,0
33,Private,201826,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,13,1878,40,Guatemala,1
23,Private,285141,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Male,34,0,40,United-States,0
67,?,130651,Assoc-acdm,13,Married-civ-spouse,?,Husband,White,Male,36,0,67,Honduras,0
32,Private,221267,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,6,0,40,United-States,0
26,Private,176137,Some-college,10,Never-married,Other-service,Not-in-family,Other,Male,14,0,40,Japan,0
44,Private,140921,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,50,1,40,United-States,0
32,Private,88524,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,5,0,55,Cambodia,0
53,Private,214343,HS-grad,9,Separated,Other-service,Not-in-family,Black,Female,5,-1,40,Mexico,0
58,Private,274951,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,13,0,40,United-States,1
34,Local-gov,42000,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,6,1,40,United-States,0
55,?,286420,Masters,14,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,5,0,40,Dominican-Republic,0
38,Private,180887,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,5,2104,40,South,1
47,Private,198067,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,27,1,40,United-States,1
19,?,282453,Some-college,13,Never-married,?,Not-in-family,White,Male,4,1829,40,United-States,0
57,Private,67070,9th,3,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,28,0,63,England,0
38,Private,305673,7th-8th,10,Married-civ-spouse,Other-service,Husband,Other,Male,17,0,40,Philippines,0
29,Private,242984,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-19,1,40,United-States,0
49,Private,228778,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,34,1834,40,United-States,0
40,State-gov,166530,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,1,51,?,1
52,Private,151360,Masters,14,Never-married,Prof-specialty,Unmarried,White,Female,48,0,40,United-States,1
67,Private,255789,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,-5,0,58,United-States,1
18,Private,264989,Some-college,10,Never-married,Other-service,Other-relative,White,Male,7,1,30,Guatemala,0
51,Private,186019,9th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,4286,0,40,United-States,0
24,Private,159464,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,3,0,40,Guatemala,0
46,Private,215450,9th,6,Divorced,Craft-repair,Not-in-family,White,Male,59,0,40,United-States,0
56,Private,202625,HS-grad,9,Widowed,Other-service,Other-relative,Other,Female,17,0,40,United-States,0
61,?,211548,Some-college,10,Married-civ-spouse,?,Husband,White,Male,9,0,40,Japan,0
49,Private,212808,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,19,0,40,India,1
33,Private,210094,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,4040,-1,40,United-States,0
41,Private,200788,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,23,0,49,United-States,1
23,Private,222983,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,32,0,31,United-States,0
34,Private,277815,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,8,0,40,United-States,1
39,Self-emp-not-inc,242741,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,12,0,40,Honduras,0
44,Private,221686,HS-grad,9,Widowed,Sales,Other-relative,White,Female,19,0,30,United-States,0
34,Private,265279,Bachelors,13,Separated,Prof-specialty,Unmarried,Black,Female,0,0,46,United-States,1
36,Private,95312,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,12,-1,40,United-States,0
52,Self-emp-not-inc,117464,Prof-school,16,Divorced,Prof-specialty,Not-in-family,White,Male,7404,0,50,United-States,1
35,Private,190654,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,16,0,49,United-States,0
37,Private,149013,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,22,-1,49,United-States,1
41,Private,224084,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,25,0,40,United-States,1
78,State-gov,114512,11th,7,Widowed,Priv-house-serv,Not-in-family,White,Female,12,0,40,United-States,0
35,Private,212305,Assoc-voc,5,Divorced,Other-service,Not-in-family,White,Female,39,0,40,United-States,0
21,?,173078,Assoc-voc,11,Never-married,?,Own-child,White,Male,23,0,19,United-States,0
26,?,278247,HS-grad,9,Never-married,?,Other-relative,White,Male,1,1800,40,Columbia,0
23,Private,347283,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,4,0,50,?,0
27,Private,360424,HS-grad,9,Separated,Adm-clerical,Unmarried,Other,Male,12,1809,40,Dominican-Republic,0
27,Private,281946,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,18,0,40,United-States,0
42,Private,317250,Some-college,10,Widowed,Priv-house-serv,Unmarried,White,Female,12,0,30,United-States,0
62,?,304033,Some-college,10,Married-civ-spouse,?,Husband,White,Male,-2,0,17,United-States,0
44,Private,342717,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,19,0,40,United-States,0
48,Private,50235,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,22,0,40,United-States,0
58,Local-gov,601942,9th,9,Married-civ-spouse,Other-service,Other-relative,Black,Female,10,0,40,Trinadad&Tobago,0
52,Self-emp-not-inc,190186,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,12,0,66,United-States,0
40,Private,460717,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,9,1791,50,United-States,0
26,Private,196348,Masters,10,Never-married,Prof-specialty,Not-in-family,White,Female,32,0,40,United-States,1
53,State-gov,233491,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,-1,1,40,United-States,0
53,Self-emp-not-inc,255646,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,54,1,40,United-States,0
45,Private,509627,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,17,0,40,United-States,0
38,Private,157751,Bachelors,7,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,50,United-States,1
59,Private,304874,Preschool,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,40,United-States,0
35,Private,55284,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,-28,1833,40,Cuba,0
71,Private,33560,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,27,0,40,United-States,0
48,Private,124958,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,60,France,1
21,State-gov,290536,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,11,0,31,?,0
45,Self-emp-not-inc,243491,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,31,0,40,United-States,0
33,Private,468747,Bachelors,13,Married-civ-spouse,Sales,Own-child,White,Male,36,0,40,United-States,0
19,Private,165634,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Female,11,0,40,United-States,0
21,?,216000,10th,6,Married-civ-spouse,?,Husband,White,Male,11,0,40,United-States,0
26,Private,292204,HS-grad,3,Never-married,Adm-clerical,Own-child,White,Female,-9,-1,40,Haiti,0
20,Private,179602,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,24,0,36,United-States,0
55,?,234568,HS-grad,9,Married-AF-spouse,?,Wife,White,Female,4,0,40,United-States,0
16,Private,183022,1st-4th,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,32,0,40,United-States,0
30,Private,218174,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,8,0,40,Jamaica,0
53,Self-emp-inc,240780,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,-3,1,57,?,1
58,?,272115,Bachelors,12,Married-civ-spouse,?,Husband,Other,Male,-16,0,30,?,0
17,Private,121312,11th,7,Never-married,Sales,Own-child,White,Male,45,0,36,United-States,0
46,Private,210093,HS-grad,3,Married-spouse-absent,Farming-fishing,Not-in-family,White,Female,5,0,31,Dominican-Republic,0
40,Private,202293,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,26,-1,40,Columbia,0
66,Self-emp-inc,209433,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,49,0,60,United-States,0
20,?,93411,10th,6,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,14,0,6,?,0
61,Self-emp-inc,241444,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,0,57,United-States,1
26,Private,294095,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,-1,0,40,Dominican-Republic,0
51,Private,134749,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,-4,-1,36,United-States,0
65,State-gov,185123,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
41,Private,320347,HS-grad,9,Separated,Other-service,Own-child,Black,Male,18,0,12,United-States,0
38,Private,332475,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,2,0,31,United-States,0
29,Local-gov,58744,Assoc-acdm,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,15,2,60,England,1
29,Private,180428,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,-6,0,40,United-States,0
42,Private,227585,10th,13,Never-married,Other-service,Not-in-family,White,Male,7,0,40,United-States,0
51,Federal-gov,250118,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7740,0,40,United-States,1
52,Private,110266,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,12,1,40,Iran,0
28,Private,287572,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,-6,0,40,Germany,0
37,Private,239918,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,22,0,40,United-States,0
29,Local-gov,313771,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,42,0,40,United-States,0
17,?,217950,Some-college,10,Never-married,?,Own-child,White,Female,16,0,7,United-States,0
41,Federal-gov,123584,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,3523,1,40,United-States,1
55,Private,251128,Assoc-voc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,0
31,Private,211375,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,23,0,40,United-States,0
22,?,286601,11th,7,Married-civ-spouse,?,Own-child,White,Male,-3,0,14,United-States,0
45,Self-emp-inc,90660,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,15738,0,62,United-States,1
45,Private,193457,7th-8th,3,Married-spouse-absent,Craft-repair,Unmarried,White,Male,11,0,40,?,0
52,State-gov,134547,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,0,50,United-States,0
32,Private,207055,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,1,40,United-States,0
35,Private,237013,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,1,-1,44,United-States,0
45,State-gov,177946,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,22,1,50,United-States,1
30,Local-gov,47598,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,1,0,40,United-States,0
32,Self-emp-not-inc,299541,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Male,-27,0,40,United-States,0
39,Private,311774,Bachelors,13,Never-married,Craft-repair,Not-in-family,Black,Female,16,0,40,Ireland,0
60,Private,265855,Some-college,10,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,20,0,40,Nicaragua,0
64,Self-emp-not-inc,107984,Some-college,10,Widowed,Sales,Not-in-family,Black,Female,7,-1,40,United-States,0
49,Private,99536,1st-4th,2,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,3948,-1,40,United-States,0
64,?,405355,Bachelors,12,Married-civ-spouse,?,Husband,White,Male,35,0,65,United-States,1
32,Private,312526,11th,7,Married-civ-spouse,Tech-support,Husband,White,Female,9,0,58,United-States,0
48,Private,177227,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,1,0,40,United-States,0
38,Private,324473,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,-20,1,40,United-States,1
42,Federal-gov,155985,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,17,1816,50,United-States,0
50,Self-emp-not-inc,51139,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,27,0,37,United-States,0
40,Local-gov,264044,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,18,0,40,United-States,0
47,Private,195863,11th,4,Married-spouse-absent,Other-service,Not-in-family,White,Male,10,-1,40,United-States,0
34,Federal-gov,214404,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,6,0,40,United-States,0
21,?,223562,11th,7,Never-married,?,Own-child,White,Male,11,-1,7,United-States,0
35,Self-emp-not-inc,243173,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Male,-7,0,50,United-States,1
49,Self-emp-inc,132365,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,45,United-States,1
32,Private,112034,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,41,1,50,United-States,0
47,Private,201722,HS-grad,9,Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Female,8,0,40,Taiwan,0
48,Federal-gov,181641,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,10,0,66,United-States,1
48,Private,238643,HS-grad,9,Widowed,Other-service,Not-in-family,Black,Female,0,-1,40,United-States,0
30,Private,161605,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,25,1,70,United-States,0
34,Private,485275,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,-1,0,50,Cambodia,0
35,Private,134995,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15,-1,9,United-States,1
37,Self-emp-not-inc,240799,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,21,0,59,United-States,0
26,Private,82709,Masters,14,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,29,0,40,China,0
27,Never-worked,190593,11th,7,Never-married,Prof-specialty,Not-in-family,Black,Female,1,0,40,United-States,0
